#,population,h,ce3,c4,cl3,cl6,ce6,lb1,lb2,lb3,lb4,hl,el,c,1,2,3,4,5,6,7,8,9,10,11,l2b1,l2b2,l2b3,l2b4,l6b1,l6b2,l6b3,l6b4,Std h,Std ce3,Std c4,Std cl3,Std cl6,Std ce6,Std lb1,Std lb2,Std lb3,Std lb4,Std hl,Std el,Std c,Std 1,Std 2,Std 3,Std 4,Std 5,Std 6,Std 7,Std 8,Std 9,Std 10,Std 11,Std l2b1,Std l2b2,Std l2b3,Std l2b4,Std l6b1,Std l6b2,Std l6b3,Std l6b4
L70,L,8.87,6.54,2.57,4.59,4.09,6.36,0.22,0.48,0.17,0.51,1.07,0.67,0.3,0.26,0.28,0.23,0.3,0.28,0.13,0.33,0.18,0.15,0.3,0.22,0.26,0.23,0.04,0.19,0.18,0.8,0.38,0.18,0.9379273064,-0.247079501,0.9088686352,0.1709211026,0.6066400432,0.5462548495,-0.298700774,0.3400359811,-1.26886998,1.2307669278,0.3635870292,-0.08105509,0.436835515,0.4117698053,0.2646907466,-0.282913046,0.6215455691,0.1234987872,-0.502701997,1.3345194225,0.5993219125,-0.3980395,0.0506649311,-0.05725953,0.487634539,-1.351849044,-1.520251713,0.2754905069,-1.023573154,-0.028842763,-0.92209444,0.53648058
L71,L,9.9,7.29,2.26,4.9,4.12,6.68,0.23,0.52,0.47,0.36,1.09,0.73,0.21,0.23,0.21,0.24,0.26,0.26,0.18,0.21,0.21,0.13,0.35,0.24,0.29,0.66,0.15,0.24,0.38,0.91,0.63,0.11,2.6094273634,1.0276618722,-0.117055906,0.7159152468,0.66548776,1.1285672368,-0.163155885,0.7054477817,0.2789985198,0.4325914182,0.5805339859,0.5754911376,-0.494313872,0.0798956339,-0.597835997,-0.168903311,0.2134791772,-0.072646345,0.1659164226,-0.133678516,0.9684859803,-0.635543732,0.465196186,0.1805877469,0.8266765789,1.3379482827,-0.756267349,0.8224201898,0.7976113702,0.5422439414,0.2369628169,-0.234582763
L73,L,8.76,7,2.63,4.9,4.17,6.28,0.27,0.34,0.25,0.5,1.09,0.46,0.35,0.23,0.25,0.35,0.14,0.33,0.26,0.29,0.25,0.09,0.32,0.33,0.23,0.25,0.27,0.17,0.33,0.67,0.4,0.11,0.7594175915,0.5347618747,1.1074346755,0.7159152468,0.7635672879,0.4006767526,0.3790236716,-0.938905321,-0.856105047,1.1775552272,0.5805339859,-2.378966886,0.9541407301,0.0798956339,-0.104963572,1.0852037737,-1.010719998,0.6138616186,1.2357058936,0.8451201096,1.4607047373,-1.110552196,0.2164774331,1.250900491,0.148592499,-1.226742192,0.0771701377,0.0567186338,0.3423152392,-0.703763413,-0.829369859,-0.234582763
L74,L,8.17,7.38,2.5,5.3,4.64,6.91,0.32,0.4,0.2,0.37,1.09,0.73,0.27,0.17,0.16,0.22,0.11,0.16,0.18,0.16,0.07,0.17,0.09,0.15,0.26,0.32,0.13,0.08,0.36,0.86,0.44,0.19,-0.198043606,1.180630837,0.6772082548,1.4191334974,1.6855148506,1.5471042652,1.0567481174,-0.39078762,-1.11408313,0.4858031188,0.5805339859,0.5754911376,0.1264523859,-0.583852709,-1.213926528,-0.396922781,-1.316769792,-1.053372008,0.1659164226,-0.745427657,-0.754279669,-0.160535268,-1.690366339,-0.889724997,0.487634539,-0.788868208,-0.895173597,-0.927754795,0.6154929178,0.2826590758,-0.643920698,0.6466324861
L75,L,8.98,7.66,2.9,5.66,4.71,7.04,0.2,0.45,0.31,0.26,1.18,0.74,0.33,0.26,0.26,0.34,0.42,0.57,0.35,0.32,0.11,0.29,0.5,0.19,0.3,0.36,0.16,0.14,0.26,1.03,0.56,0.17,1.1164370212,1.6565342828,2.0009818569,2.052029923,1.8228261897,1.7836686725,-0.569790553,0.0659771307,-0.546531347,-0.099525588,1.5567952908,0.6849155088,0.7472186441,0.4117698053,0.0182545343,0.9711940387,1.8457447448,2.9676032092,2.4392190485,1.2121695943,-0.262060912,1.2644901239,1.7087899505,-0.414030444,0.9396905923,-0.538654503,-0.686814226,-0.271439176,-0.295099344,1.1652476187,-0.087573215,0.4263286738
L76,L,8.39,7.36,2.59,5.14,4.18,6.65,0.16,0.52,0.46,0.26,1.17,0.66,0.33,0.33,0.18,0.33,0.12,0.14,0.19,0.11,0.13,0.13,0.21,0.18,0.2,0.38,0.11,0.13,0.28,0.82,0.5,0.21,0.1589758235,1.1466377337,0.9750573153,1.1378461972,0.7831831935,1.0739754505,-1.111970109,0.7054477817,0.2274029031,-0.099525588,1.4483218125,-0.190479461,0.7472186441,1.1861428719,-0.967490315,0.8571843038,-1.214753194,-1.249517141,0.2996401065,-1.357176798,-0.015951534,-0.635543732,-0.695491328,-0.532954082,-0.190449541,-0.413547651,-1.034079845,-0.380825113,-0.112980892,0.0749911834,-0.365746957,0.8669362984
L77,L,8.5,6.99,2.6,4.83,3.94,6.33,0.12,0.44,0.6,0.01,1.01,0.84,0.21,0.11,0.14,0.18,0.15,0.19,0.11,0.17,0.05,0.02,0.09,0.23,0.13,0.22,0.23,0.28,0.26,0.63,0.55,0,0.3374855383,0.5177653231,1.0081516553,0.5928520529,0.3124014594,0.4916630631,-1.654149666,-0.025375819,0.9497415366,-1.429818104,-0.287253841,1.7791592211,-0.494313872,-1.247601052,-1.46036274,-0.852961721,-0.9087034,-0.759154309,-0.770149365,-0.623077829,-1.000389048,-1.941817008,-1.690366339,0.0616641087,-0.981547634,-1.41440247,-0.200642358,1.2599639361,-0.295099344,-0.911431306,-0.133935505,-1.446253731
L80,L,8.27,6.33,2.45,4.39,3.51,6.01,0.37,0.38,0.31,0.37,0.93,0.78,0.26,0.11,0.18,0.23,0.11,0.16,0.02,0.13,0.06,0.05,0.2,0.2,0.23,0.28,0.18,0.21,0.2,0.67,0.56,0.08,-0.035762047,-0.604007085,0.5117365545,-0.180688023,-0.531082481,-0.090649324,1.7344725633,-0.57349352,-0.546531347,0.4858031188,-1.155041667,1.1226129937,0.0229913429,-1.247601052,-0.967490315,-0.282913046,-1.316769792,-1.053372008,-1.973662519,-1.112477142,-0.877334359,-1.58556066,-0.778397579,-0.295106806,0.148592499,-1.039081913,-0.547907978,0.4942623801,-0.841454701,-0.703763413,-0.087573215,-0.565038482
L81,L,9.2,7.54,2.63,5.32,4.55,7.03,0.26,0.55,0.06,0.76,1.14,0.72,0.26,0.13,0.26,0.18,0.13,0.25,0.16,0.19,0.18,0.13,0.31,0.26,0.22,0.48,0.22,0.19,0.24,0.92,0.59,0.04,1.4734564509,1.4525756632,1.1074346755,1.45429441,1.5089717003,1.7654714104,0.2434787824,0.9795066322,-1.836421764,2.5610594439,1.1229013775,0.4660667663,0.0229913429,-1.026351604,0.0182545343,-0.852961721,-1.112736596,-0.170718912,-0.101530945,-0.378378172,0.5993219125,-0.635543732,0.1335711821,0.4184350234,0.0355784857,0.211986611,-0.270095482,0.2754905069,-0.477217797,0.5941609145,0.0515136558,-1.005646106
L83,L,9.32,7.2,2.48,5.03,4.33,6.66,0.2,0.54,0.3,0.25,1.25,0.69,0.09,0.13,0.22,0.14,0.21,0.21,0.13,0.18,0.09,0.09,0.24,0.14,0.32,0.57,0.08,0.13,0.3,0.76,0.64,0.01,1.6681943216,0.8746929075,0.6110195747,0.9444611783,1.0774217773,1.0921727126,-0.569790553,0.888153682,-0.598126964,-0.152737289,2.3161096391,0.1377936527,-1.735846389,-1.026351604,-0.474617891,-1.309000661,-0.296603813,-0.563009177,-0.502701997,-0.500728001,-0.508170291,-1.110552196,-0.446772575,-1.008648635,1.1657186189,0.7749674469,-1.242439217,-0.380825113,0.0691375606,-0.236510655,0.2833251072,-1.336101825
